Frame, Time (ms)
  548,  6166.823
  549,  6178.252
  550,  6189.668
  551,  6200.971
  552,  6212.214
  553,  6223.679
  554,  6234.969
  555,  6246.241
  556,  6257.782
  557,  6269.123
  558,  6280.501
  559,  6291.695
  560,  6302.954
  561,  6314.243
  562,  6325.554
  563,  6336.844
  564,  6348.120
  565,  6359.606
  566,  6371.187
  567,  6382.356
  568,  6393.614
  569,  6405.136
  570,  6416.357
  571,  6427.598
  572,  6439.102
  573,  6450.267
  574,  6461.367
  575,  6472.847
  576,  6484.162
  577,  6495.387
  578,  6506.732
  579,  6517.926
  580,  6529.194
  581,  6540.584
  582,  6551.747
  583,  6562.937
  584,  6574.248
  585,  6585.405
  586,  6596.553
  587,  6607.928
  588,  6619.144
  589,  6630.326
  590,  6641.591
  591,  6652.848
  592,  6663.949
  593,  6675.207
  594,  6686.510
  595,  6697.684
  596,  6708.913
  597,  6720.149
  598,  6731.335
  599,  6742.633
  600,  6753.779
  601,  6765.020
  602,  6776.212
  603,  6787.444
  604,  6798.613
  605,  6809.868
  606,  6821.152
  607,  6832.280
  608,  6843.586
  609,  6854.938
  610,  6866.132
  611,  6877.334
  612,  6888.739
  613,  6899.822
  614,  6911.000
  615,  6922.258
  616,  6933.394
  617,  6944.483
  618,  6955.880
  619,  6967.111
  620,  6978.466
  621,  6989.722
  622,  7000.868
  623,  7012.011
  624,  7023.436
  625,  7034.595
  626,  7045.853
  627,  7057.372
  628,  7068.579
  629,  7079.770
  630,  7091.163
  631,  7102.341
  632,  7113.532
  633,  7125.100
  634,  7136.284
  635,  7147.467
  636,  7158.709
  637,  7169.807
  638,  7180.993
  639,  7192.234
  640,  7203.465
  641,  7214.666
  642,  7225.933
  643,  7237.227
  644,  7248.460
  645,  7259.616
  646,  7270.887
  647,  7282.175
  648,  7293.491
  649,  7304.888
  650,  7315.979
  651,  7327.218
  652,  7338.561
  653,  7349.734
  654,  7361.239
  655,  7372.885
  656,  7384.134
  657,  7395.428
  658,  7406.937
  659,  7418.023
  660,  7429.452
  661,  7440.780
  662,  7452.004
  663,  7463.166
  664,  7474.535
  665,  7485.779
  666,  7497.002
  667,  7508.352
  668,  7519.433
  669,  7530.708
  670,  7541.988
  671,  7553.163
  672,  7564.396
  673,  7575.582
  674,  7586.767
  675,  7597.895
  676,  7609.121
  677,  7620.298
  678,  7631.417
  679,  7642.665
  680,  7653.888
  681,  7665.131
  682,  7676.611
  683,  7687.857
  684,  7699.211
  685,  7710.528
  686,  7721.874
  687,  7733.134
  688,  7744.485
  689,  7755.817
  690,  7766.941
  691,  7778.221
  692,  7789.639
  693,  7800.915
  694,  7812.114
  695,  7823.569
  696,  7834.811
  697,  7846.092
  698,  7857.435
  699,  7868.557
  700,  7879.782
  701,  7891.139
  702,  7902.369
  703,  7913.363
  704,  7924.830
  705,  7936.066
  706,  7947.215
  707,  7958.662
  708,  7970.074
  709,  7981.071
  710,  7992.453
  711,  8003.634
  712,  8014.821
  713,  8025.985
  714,  8037.200
  715,  8048.362
  716,  8059.740
  717,  8071.072
  718,  8082.200
  719,  8093.447
  720,  8104.637
  721,  8115.905
  722,  8127.138
  723,  8138.351
  724,  8149.637
  725,  8160.861
  726,  8172.289
  727,  8183.608
  728,  8194.760
  729,  8206.155
  730,  8217.238
  731,  8228.508
  732,  8239.906
  733,  8251.011
  734,  8262.167
  735,  8273.538
  736,  8284.786
  737,  8295.987
  738,  8307.337
  739,  8318.683
  740,  8329.749
  741,  8341.154
  742,  8352.251
  743,  8363.879
  744,  8375.304
  745,  8386.452
  746,  8397.635
  747,  8408.929
  748,  8420.022
  749,  8431.173
  750,  8442.455
  751,  8453.575
  752,  8464.699
  753,  8476.067
  754,  8487.193
  755,  8498.427
  756,  8509.666
  757,  8520.765
  758,  8531.953
  759,  8543.167
  760,  8554.261
  761,  8565.401
  762,  8576.587
  763,  8587.733
  764,  8598.876
  765,  8610.136
  766,  8621.284
  767,  8632.493
  768,  8643.731
  769,  8655.003
  770,  8666.211
  771,  8677.464
  772,  8688.851
  773,  8700.179
  774,  8711.328
  775,  8722.840
  776,  8734.074
  777,  8745.303
  778,  8757.150
  779,  8767.601
  780,  8778.891
  781,  8790.254
  782,  8801.413
  783,  8812.619
  784,  8823.982
  785,  8835.367
  786,  8846.522
  787,  8858.063
  788,  8869.679
  789,  8881.788
  790,  8893.136
  791,  8904.640
  792,  8915.968
  793,  8927.254
  794,  8938.452
  795,  8949.600
  796,  8960.809
  797,  8972.243
  798,  8983.274
  799,  8994.638
  800,  9005.840
  801,  9017.019
  802,  9028.343
  803,  9039.701
  804,  9050.849
  805,  9061.959
  806,  9073.245
  807,  9084.347
  808,  9095.521
  809,  9106.772
  810,  9117.935
  811,  9129.155
  812,  9140.480
  813,  9151.762
  814,  9162.783
  815,  9174.122
  816,  9185.343
  817,  9196.842
  818,  9207.725
  819,  9218.802
  820,  9229.999
  821,  9241.272
  822,  9252.311
  823,  9263.364
  824,  9274.754
  825,  9285.893
  826,  9296.963
  827,  9308.271
  828,  9319.345
  829,  9330.555
  830,  9341.787
  831,  9353.101
  832,  9364.288
  833,  9375.800
  834,  9387.147
  835,  9398.230
  836,  9409.565
  837,  9420.614
  838,  9431.680
  839,  9443.012
  840,  9454.162
  841,  9465.259
  842,  9476.575
  843,  9487.633
  844,  9498.775
  845,  9509.924
  846,  9521.023
  847,  9532.232
  848,  9543.419
  849,  9554.494
  850,  9565.515
  851,  9576.738
  852,  9587.765
  853,  9598.807
  854,  9609.981
  855,  9621.122
  856,  9632.217
  857,  9643.437
  858,  9654.557
  859,  9665.466
  860,  9676.750
  861,  9687.867
  862,  9699.017
  863,  9710.202
  864,  9721.327
  865,  9732.402
  866,  9743.656
  867,  9754.751
  868,  9765.817
  869,  9777.046
  870,  9788.086
  871,  9799.125
  872,  9810.397
  873,  9821.491
  874,  9832.544
  875,  9843.886
  876,  9854.985
  877,  9866.108
  878,  9877.311
  879,  9888.389
  880,  9899.779
  881,  9910.630
  882,  9921.674
  883,  9932.970
  884,  9944.125
  885,  9955.389
  886,  9966.409
  887,  9977.375
  888,  9988.409
  889,  9999.627
  890, 10010.798
  891, 10021.912
  892, 10032.957
  893, 10044.130
  894, 10055.221
  895, 10066.300
  896, 10077.366
  897, 10088.497
  898, 10099.477
  899, 10110.671
  900, 10122.032
  901, 10133.074
  902, 10144.287
  903, 10155.389
  904, 10166.415
  905, 10177.633
  906, 10188.805
  907, 10199.825
  908, 10211.105
  909, 10222.193
  910, 10233.188
  911, 10244.397
  912, 10255.479
  913, 10266.492
  914, 10277.817
  915, 10289.072
  916, 10299.977
  917, 10311.175
  918, 10322.177
  919, 10333.353
  920, 10344.556
  921, 10355.887
  922, 10367.012
  923, 10377.965
  924, 10389.016
  925, 10400.234
  926, 10411.204
  927, 10422.255
  928, 10433.331
  929, 10444.540
  930, 10455.604
  931, 10466.625
  932, 10477.878
  933, 10488.955
  934, 10500.057
  935, 10511.056
  936, 10522.062
  937, 10533.159
  938, 10544.320
  939, 10555.456
  940, 10566.478
  941, 10577.706
  942, 10588.702
  943, 10599.678
  944, 10610.922
  945, 10621.963
  946, 10633.150
  947, 10644.361
  948, 10655.454
  949, 10666.468
  950, 10677.786
  951, 10688.971
  952, 10700.135
  953, 10711.726
  954, 10722.552
  955, 10733.845
  956, 10744.976
  957, 10756.073
  958, 10767.078
  959, 10778.129
  960, 10789.162
  961, 10800.242
  962, 10811.352
  963, 10822.257
  964, 10833.316
  965, 10844.532
  966, 10855.564
  967, 10866.527
  968, 10877.573
  969, 10888.501
  970, 10899.494
  971, 10910.665
  972, 10921.831
  973, 10933.206
  974, 10944.563
  975, 10955.525
  976, 10966.557
  977, 10977.671
  978, 10988.785
  979, 10999.760
  980, 11010.947
  981, 11022.254
  982, 11033.238
  983, 11044.392
  984, 11055.502
  985, 11066.329
  986, 11077.440
  987, 11088.503
  988, 11099.450
  989, 11110.693
  990, 11121.783
  991, 11132.705
  992, 11143.910
  993, 11154.918
  994, 11165.809
  995, 11177.093
  996, 11188.269
  997, 11199.522
  998, 11210.772
  999, 11221.778
 1000, 11232.680
 1001, 11243.966
 1002, 11254.977
 1003, 11265.889
 1004, 11277.215
 1005, 11289.302
 1006, 11300.749
 1007, 11315.943
 1008, 11327.342
 1009, 11339.766
 1010, 11351.364
 1011, 11362.563
 1012, 11374.281
 1013, 11385.214
 1014, 11396.242
 1015, 11407.442
 1016, 11418.383
 1017, 11429.320
 1018, 11440.358
 1019, 11451.275
 1020, 11462.296
 1021, 11473.198
 1022, 11484.167
 1023, 11495.338
 1024, 11506.657
 1025, 11517.461
 1026, 11528.589
 1027, 11539.593
 1028, 11550.587
 1029, 11561.722
 1030, 11572.742
 1031, 11583.552
 1032, 11594.802
 1033, 11605.711
 1034, 11616.594
 1035, 11627.741
 1036, 11638.770
 1037, 11649.670
 1038, 11660.730
 1039, 11671.737
 1040, 11682.665
 1041, 11693.936
 1042, 11704.794
 1043, 11715.804
 1044, 11726.980
 1045, 11737.949
 1046, 11748.821
 1047, 11759.872
 1048, 11770.758
 1049, 11781.725
 1050, 11792.744
 1051, 11803.589
 1052, 11814.524
 1053, 11825.672
 1054, 11836.565
 1055, 11847.477
 1056, 11858.562
 1057, 11869.754
 1058, 11880.901
 1059, 11892.159
 1060, 11902.981
 1061, 11913.931
 1062, 11924.803
 1063, 11935.768
 1064, 11946.680
 1065, 11957.599
 1066, 11968.665
 1067, 11979.519
 1068, 11990.415
 1069, 12001.306
 1070, 12012.364
 1071, 12023.269
 1072, 12034.250
 1073, 12045.507
 1074, 12056.449
 1075, 12067.341
 1076, 12078.530
 1077, 12089.521
 1078, 12100.410
 1079, 12111.481
 1080, 12122.667
 1081, 12133.535
 1082, 12144.707
 1083, 12155.538
 1084, 12166.521
 1085, 12177.587
 1086, 12188.664
 1087, 12199.485
 1088, 12210.612
 1089, 12221.499
 1090, 12232.312
 1091, 12243.469
 1092, 12254.338
 1093, 12265.252
 1094, 12276.365
 1095, 12287.253
 1096, 12298.199
 1097, 12309.271
 1098, 12320.196
 1099, 12331.023
 1100, 12342.256
 1101, 12353.393
 1102, 12364.355
 1103, 12375.488
 1104, 12386.346
 1105, 12397.308
 1106, 12408.230
 1107, 12419.018
 1108, 12429.977
 1109, 12440.810
 1110, 12451.736
 1111, 12462.588
 1112, 12473.518
 1113, 12484.332
 1114, 12495.467
 1115, 12506.283
 1116, 12517.109
 1117, 12528.216
 1118, 12539.143
 1119, 12550.050
 1120, 12561.244
 1121, 12572.176
 1122, 12582.933
 1123, 12594.240
 1124, 12605.130
 1125, 12616.010
 1126, 12627.150
 1127, 12638.041
 1128, 12648.908
 1129, 12659.919
 1130, 12671.274
 1131, 12682.417
 1132, 12693.633
 1133, 12704.509
 1134, 12715.410
 1135, 12726.466
 1136, 12737.342
 1137, 12748.415
 1138, 12759.523
 1139, 12770.425
 1140, 12781.305
 1141, 12792.175
 1142, 12803.080
 1143, 12813.981
 1144, 12824.837
 1145, 12835.668
 1146, 12846.577
 1147, 12857.484
 1148, 12868.473
 1149, 12879.497
 1150, 12890.965
 1151, 12902.128
 1152, 12913.533
 1153, 12924.632
 1154, 12935.638
 1155, 12946.706
 1156, 12957.612
 1157, 12968.648
 1158, 12979.656
 1159, 12990.763
 1160, 13001.654
 1161, 13013.001
 1162, 13023.948
 1163, 13034.871
 1164, 13045.982
 1165, 13056.971
 1166, 13067.721
 1167, 13078.848
 1168, 13089.760
 1169, 13100.603
 1170, 13111.725
 1171, 13122.695
 1172, 13133.602
 1173, 13144.738
 1174, 13155.590
 1175, 13166.466
 1176, 13177.582
 1177, 13188.507
 1178, 13199.371
 1179, 13210.409
 1180, 13221.212
 1181, 13232.120
 1182, 13243.259
 1183, 13254.074
 1184, 13264.988
 1185, 13275.943
 1186, 13286.736
 1187, 13297.605
 1188, 13308.540
 1189, 13319.431
 1190, 13330.206
 1191, 13341.260
 1192, 13353.099
 1193, 13363.511
 1194, 13374.408
 1195, 13385.233
 1196, 13396.144
 1197, 13406.974
 1198, 13417.734
 1199, 13428.819
 1200, 13439.707
 1201, 13450.522
 1202, 13461.544
 1203, 13472.315
 1204, 13483.208
 1205, 13494.366
 1206, 13505.165
 1207, 13516.013
 1208, 13527.135
 1209, 13538.338
 1210, 13548.977
 1211, 13560.060
 1212, 13570.861
 1213, 13581.739
 1214, 13592.586
 1215, 13603.447
 1216, 13614.245
 1217, 13625.068
 1218, 13635.843
 1219, 13646.809
 1220, 13657.749
 1221, 13668.668
 1222, 13679.737
 1223, 13690.603
 1224, 13701.480
 1225, 13712.522
 1226, 13723.302
 1227, 13734.060
 1228, 13745.239
 1229, 13756.055
 1230, 13766.834
 1231, 13777.746
 1232, 13788.510
 1233, 13799.193
 1234, 13810.201
 1235, 13821.024
 1236, 13831.868
 1237, 13842.800
 1238, 13853.681
 1239, 13864.420
 1240, 13875.229
 1241, 13886.017
 1242, 13896.967
 1243, 13907.832
 1244, 13918.678
 1245, 13929.684
 1246, 13940.503
 1247, 13951.357
 1248, 13962.346
 1249, 13973.211
 1250, 13983.964
 1251, 13994.971
 1252, 14005.818
 1253, 14016.604
 1254, 14027.633
 1255, 14038.560
 1256, 14049.254
 1257, 14060.406
 1258, 14071.188
 1259, 14082.023
 1260, 14092.877
 1261, 14103.737
 1262, 14114.554
 1263, 14125.433
 1264, 14136.317
 1265, 14147.461
 1266, 14158.165
 1267, 14168.928
 1268, 14180.264
 1269, 14191.264
 1270, 14202.111
 1271, 14213.234
 1272, 14224.112
 1273, 14234.987
 1274, 14246.253
 1275, 14257.049
 1276, 14267.901
 1277, 14279.016
 1278, 14289.805
 1279, 14300.783
 1280, 14311.819
 1281, 14322.822
 1282, 14333.676
 1283, 14344.894
 1284, 14356.042
 1285, 14366.949
 1286, 14378.017
 1287, 14388.933
 1288, 14399.755
 1289, 14410.872
 1290, 14421.698
 1291, 14432.676
 1292, 14443.871
 1293, 14454.702
 1294, 14466.736
 1295, 14477.837
 1296, 14488.715
 1297, 14499.719
 1298, 14510.865
 1299, 14521.738
 1300, 14532.678
 1301, 14543.695
 1302, 14554.703
 1303, 14565.576
 1304, 14576.473
 1305, 14587.357
 1306, 14598.185
 1307, 14609.168
 1308, 14620.165
 1309, 14631.033
 1310, 14642.012
 1311, 14652.860
 1312, 14663.919
 1313, 14674.777
 1314, 14685.706
 1315, 14696.804
 1316, 14707.805
 1317, 14718.786
 1318, 14729.889
 1319, 14741.105
 1320, 14751.738
 1321, 14762.924
 1322, 14773.817
 1323, 14784.724
 1324, 14795.879
 1325, 14806.853
 1326, 14817.734
 1327, 14828.843
 1328, 14839.768
 1329, 14850.713
 1330, 14861.795
 1331, 14872.762
 1332, 14883.870
 1333, 14895.261
 1334, 14906.280
 1335, 14917.251
 1336, 14928.445
 1337, 14939.431
 1338, 14950.349
 1339, 14961.458
 1340, 14972.451
 1341, 14983.469
 1342, 14994.600
 1343, 15005.453
 1344, 15016.458
 1345, 15027.709
 1346, 15038.637
 1347, 15049.602
 1348, 15060.598
 1349, 15071.522
 1350, 15082.507
 1351, 15093.400
 1352, 15104.420
 1353, 15115.337
 1354, 15126.347
 1355, 15137.239
 1356, 15148.329
 1357, 15159.386
 1358, 15170.431
 1359, 15181.611
 1360, 15192.520
 1361, 15203.443
 1362, 15214.649
 1363, 15225.506
 1364, 15236.579
 1365, 15247.870
 1366, 15258.879
 1367, 15269.866
 1368, 15281.092
 1369, 15292.116
 1370, 15302.978
 1371, 15314.138
 1372, 15325.210
 1373, 15336.131
 1374, 15347.475
 1375, 15358.577
 1376, 15369.569
 1377, 15380.837
 1378, 15391.895
 1379, 15402.864
 1380, 15414.195
 1381, 15425.226
 1382, 15436.173
 1383, 15447.454
 1384, 15458.404
 1385, 15469.442
 1386, 15480.762
 1387, 15491.750
 1388, 15502.771
 1389, 15514.064
 1390, 15525.062
 1391, 15536.079
 1392, 15547.385
 1393, 15558.479
 1394, 15570.322
 1395, 15580.689
 1396, 15591.795
 1397, 15602.713
 1398, 15613.936
 1399, 15624.920
 1400, 15635.939
 1401, 15647.262
 1402, 15658.228
 1403, 15669.193
 1404, 15680.542
 1405, 15691.517
 1406, 15702.493
 1407, 15713.822
 1408, 15724.801
 1409, 15735.644
 1410, 15746.951
 1411, 15757.862
 1412, 15768.845
 1413, 15780.177
 1414, 15791.206
 1415, 15802.136
 1416, 15813.374
 1417, 15824.385
 1418, 15835.290
 1419, 15846.486
 1420, 15857.484
 1421, 15868.509
 1422, 15879.651
 1423, 15890.555
 1424, 15901.595
 1425, 15912.884
 1426, 15923.771
 1427, 15934.705
 1428, 15945.862
 1429, 15956.793
 1430, 15967.852
 1431, 15978.971
 1432, 15989.943
 1433, 16000.963
 1434, 16012.102
 1435, 16023.039
